iter	Passed	Remaining
0	0	47
1	0	48
2	1	47
3	1	44
4	2	43
5	2	43
6	3	42
7	4	46
8	4	46
9	6	59
10	7	59
11	8	62
12	9	61
13	9	60
14	10	58
15	10	56
16	12	59
17	13	60
18	14	61
19	14	59
20	15	59
21	16	57
22	16	56
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	22	48
32	25	50
33	26	52
34	27	51
35	29	51
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	34	39
47	35	38
48	35	37
49	36	36
50	36	35
51	37	34
52	37	33
53	38	32
54	38	31
55	40	31
56	41	31
57	42	30
58	43	29
59	45	30
60	45	29
61	47	28
62	47	28
63	48	27
64	48	26
65	49	25
66	49	24
67	51	24
68	51	23
69	52	22
70	52	21
71	54	21
72	56	20
73	57	20
74	59	19
75	59	18
76	60	18
77	60	17
78	61	16
79	61	15
80	62	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	65	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	73	2
97	74	1
98	74	0
99	75	0
