iter	Passed	Remaining
0	1	1831
1	2	1211
2	3	1045
3	3	934
4	4	904
5	6	1141
6	7	1062
7	8	994
8	8	942
9	9	898
10	9	865
11	10	840
12	11	903
13	14	1001
14	24	1638
15	26	1640
16	27	1581
17	28	1530
18	28	1480
19	29	1464
20	36	1680
21	36	1638
22	37	1590
23	37	1542
24	38	1498
25	39	1475
26	40	1459
27	45	1578
28	46	1540
29	47	1521
30	47	1487
31	48	1457
32	48	1426
33	49	1397
34	49	1370
35	50	1343
36	51	1353
37	54	1369
38	55	1359
39	55	1337
40	56	1320
41	57	1311
42	58	1303
43	59	1296
44	60	1284
45	62	1289
46	64	1312
47	67	1331
48	67	1315
49	68	1298
50	68	1281
51	69	1265
52	73	1319
53	74	1304
54	75	1288
55	75	1272
56	75	1257
57	76	1242
58	77	1229
59	77	1216
60	78	1202
61	78	1189
62	79	1177
63	80	1170
64	80	1161
65	81	1157
66	83	1164
67	84	1164
68	85	1158
69	86	1149
70	87	1146
71	88	1137
72	88	1127
73	89	1117
74	89	1107
75	90	1097
76	90	1087
77	91	1078
78	91	1069
79	92	1060
80	92	1052
81	93	1046
82	93	1035
83	95	1037
84	96	1038
85	98	1050
86	99	1048
87	100	1045
88	101	1043
89	102	1036
90	102	1028
91	103	1021
92	104	1016
93	104	1009
94	105	1002
95	105	995
96	106	988
97	106	981
98	107	974
99	107	968
100	108	961
101	108	955
102	109	949
103	109	943
104	110	937
105	111	943
106	114	952
107	115	950
108	115	947
109	116	942
110	117	939
111	118	936
112	119	936
113	120	932
114	120	928
115	121	922
116	121	916
117	121	911
118	122	905
119	122	900
120	124	904
121	125	905
122	127	905
123	130	919
124	131	922
125	132	921
126	133	916
127	133	911
128	134	907
129	134	902
130	135	898
131	135	893
132	136	889
133	136	884
134	137	880
135	137	875
136	138	871
137	138	867
138	139	863
139	139	859
140	140	855
141	140	849
142	141	845
143	141	842
144	142	838
145	144	847
146	146	848
147	146	845
148	147	842
149	147	838
150	148	835
151	149	831
152	149	828
153	150	825
154	150	821
155	151	818
156	151	814
157	152	811
158	157	834
159	158	833
160	159	829
161	160	828
162	161	828
163	162	828
164	163	827
165	164	826
166	165	826
167	166	825
168	167	823
169	168	820
170	169	823
171	172	828
172	172	825
173	173	823
174	174	820
175	174	817
176	175	814
177	175	811
178	176	810
179	177	807
180	177	804
181	178	801
182	178	798
183	179	795
184	179	792
185	180	789
